-4,5.6592,1,-1.1865,0.31137
-3.5,4.0713,1,-1.1837,0.32161
-3,2.6842,1,-1.1826,0.32575
-2.5,1.4362,1,-1.1817,0.32922
-2,0.27493,1,-1.1812,0.33103
-1.5,-0.71399,1,-1.181,0.33202
-1,-1.7037,1,-1.1808,0.33273
-0.5,-2.5546,1,-1.1808,0.3328
0,-7.1608,-1,-1.1807,0.33309
0.2,-4.1295,-1,-1.1807,0.333160.5,-3.1515,-1,-1.1806,0.33337
1,-2.3382,-1,-1.1805,0.33383
1.5,-1.7424,-1,-1.1805,0.33394
2,-1.207,-1,-1.1803,0.33464
2.5,-0.70202,-1,-1.1801,0.33521
3,-0.20002,-1,-1.1797,0.3367
3.5,0.29636,-1,-1.1795,0.33762
4,0.78428,-1,-1.1785,0.34141
4.5,1.2669,-1,-1.1772,0.34641
5,1.7427,-1,-1.1749,0.3553
5.5,2.1993,-1,-1.1723,0.36554
6,2.6314,-1,-1.1671,0.38634
6.5,3.0344,-1,-1.1599,0.41575
7,3.3514,-1,-1.1533,0.4437
7.5,3.5362,-1,-1.1484,0.46432
8,3.6816,-1,-1.1434,0.48547
