-4,-4.5693,1,-1.1688,0.33262
-3.5,-5.7571,1,-1.1687,0.33305
-3,-6.7647,1,-1.1687,0.33319
-2.5,-7.6697,1,-1.1687,0.33326
-2,-8.4093,1,-1.1687,0.33333
-1.5,-9.1087,1,-1.1687,0.3333
-1,-9.7219,1,-1.1687,0.3333
-0.5,-10.458,1,-1.1687,0.33333
0,-10.833,1,-1.1687,0.33333
0.5,-11.523,1,-1.1687,0.3333
1,-11.762,1,-1.1687,0.3334
1.5,-12.208,1,-1.1687,0.33333
2,-12.814,1,-1.1687,0.3334
2.5,-13.691,1,-1.1687,0.33344
3,-14.062,1,-1.1687,0.3334
3.5,-14.394,1,-1.1686,0.33351
4,-15.693,1,-1.1686,0.33383
4.5,-15.496,-1,-1.1686,0.33383
5,-14.695,-1,-1.1685,0.3345
5.5,-14.128,-1,-1.1683,0.33539
6,-13.655,-1,-1.1681,0.33627
6.5,-13.018,-1,-1.1678,0.33815
7,-12.555,-1,-1.1671,0.34201
7.5,-11.988,-1,-1.1662,0.34697
8,-11.452,-1,-1.1647,0.35516
